domain,capacity,best_current_configuration,result_30m,result_2h,result_6h_or_policy,matched_stage1_policy,paper_reported,delta_vs_stage1,delta_vs_paper,status,conclusion,row_level_provenance
delivery,20,Stage1 validation-selected policy VH-off,19.8,19.8,19.8,19.8,20.0,0.0,-0.2,complete,Stage2 is essentially preserved but does not beat the best Stage1 result,experiment_tracking/four_domain_preservation/stable_domain_stage2_summary_20260902.csv;experiment_tracking/four_domain_preservation/stage1_training_submissions.tsv
tpp,20,Stage1 policy,20.0,20.0,20.0,20.0,20.0,0.0,0.0,complete,Stage1 is perfect; validation-led Stage2 is not uniformly preserved because one off-mode seed collapsed to9/20,experiment_tracking/four_domain_preservation/stable_domain_stage2_summary_20260902.csv;experiment_tracking/tpp_stage2_vh_off_regression_audit_20260902.md
zenotravel,20,Stage1 policy and multiple Stage2 policy cells,20.0,20.0,20.0,20.0,17.0,0.0,3.0,complete,Robustly solved and preserved; current experiments exceed the paper mean by3 plans,experiment_tracking/four_domain_preservation/stable_domain_stage2_summary_20260902.csv;experiment_tracking/preserve3_terminal_led/terminal_led_selected_summary_20260903.csv
mprime,20,Validation-led Stage2 policy either VH mode,15.2,15.2,15.2,15.0,19.0,0.2,-3.8,provisional_validation_audit_live,Current best policy is below the paper result and checkpoint selection is not yet defensible; Phase B is live,experiment_tracking/mprime_validation_ipc_scale_v1/validation_led_stage2_selected_statistics_20260903.csv;experiment_tracking/mprime_validation_phase_b_status_20260907.csv
block_grouping,20,Stage1 validation-selected policy VH-off,16.3,16.3,16.3,16.3,17.0,0.0,-0.7,complete,Neither narrow MCTS nor Stage2 improves the best Stage1 policy; terminal-led narrow MCTS is harmful,experiment_tracking/policy_paired_seed_results.csv;experiment_tracking/stage2_policy_mcts_comparison_by_branch_20260907.csv
drone,20,Terminal-led Stage2 normal MCTS VH-on,12.9,13.1,13.1,7.2,9.0,5.9,4.1,complete,Best established result; large Holm-significant MCTS gain and better than the paper mean,experiment_tracking/stage2_policy_mcts_comparison_by_branch_20260907.csv;experiment_tracking/stage2_mcts_historical_log_audit_20260902.csv
fo_counters,20,Stage1 PW70 VH-off nine-seed terminal subset,8.56,8.56,8.56,4.11,6.0,4.45,2.56,provisional_n9,Current highest mean is promising PW70 evidence; completed ten-seed fixed MCTS remains7.8 until the last PW seed terminates,experiment_tracking/mcts_progressive_widening_cross_domain/pw70_ten_seed_interim_20260907.csv;experiment_tracking/pw_fixed_five_seed_cutoff_audit_20260906.csv
rover,20,Stage1 fixed normal MCTS VH-off,4.8,5.0,5.0,4.0,7.0,1.0,-2.0,complete,Search modestly improves the learned policy but remains below the paper result; PW currently offers parity not a higher score,experiment_tracking/policy_mcts_instance_audit.csv;experiment_tracking/mcts_progressive_widening_cross_domain/pw70_ten_seed_interim_20260907.csv
counters,59,Terminal-led Stage2 narrow MCTS VH-off current lower bound,">=34.9",">=37.8",">=38.4",21.5,17.0,">=16.9",">=21.4",live_lower_bound,Best current score is a live lower bound and already substantially exceeds Stage1 final policy and the paper result; final inference waits for six live jobs,experiment_tracking/stage2_policy_mcts_comparison_by_branch_20260907.csv;experiment_tracking/stage2_mcts_counters_terminal_node_retry_20260905.csv

