snapshot,experiment,state,jobs,cpus,ram_gib,progress,next_gate
2026-09-01T08:26:18+03:00,ALL,running,121,914,6124,"exact expanded-task Slurm count",""
2026-09-01T08:26:18+03:00,ALL,completing,1,10,20,"one PRESERVE-3 policy evaluation",""
2026-09-01T08:26:18+03:00,ALL,ordinary_pending,161,1610,3220,"PRESERVE-3 Zenotravel/off policy curve and endpoints","QOSMaxMemoryPerUser"
2026-09-01T08:26:18+03:00,ALL,dependency_pending,5,10,5,"remaining PRESERVE-3 per-cell policy controllers","wait for each domain/VH cell"
2026-09-01T08:26:18+03:00,ALL,user_held,58,340,4130,"38 MPrime Stage-2 jobs/controllers and 20 FO Counters MCTS jobs","explicit release only"
2026-09-01T08:26:18+03:00,PRESERVE-3-TERM,running_training,43,258,2064,"17/60 training lineages terminal","finish cells independently"
2026-09-01T08:26:18+03:00,PRESERVE-3-TERM,running_policy,47,470,940,"Zenotravel/off cell complete","finish every-five and selected/final policy evaluations"
2026-09-01T08:26:18+03:00,PRESERVE-3-TERM,completing_policy,1,10,20,"Zenotravel/off","complete"
2026-09-01T08:26:18+03:00,PRESERVE-3-TERM,pending_policy,161,1610,3220,"Zenotravel/off","memory slots"
2026-09-01T08:26:18+03:00,PRESERVE-3-TERM,dependency_controllers,5,10,5,"Delivery off/on TPP off/on Zenotravel/on","cell completion"
2026-09-01T08:26:18+03:00,MPRIME-ANCHOR-CORRECTED-VAL,running,6,36,120,"527/588 checkpoint summaries; 19/28 tasks complete 3 failed","finish six active then resumably recover three failed indices"
2026-09-01T08:26:18+03:00,MCTS-PW-CROSS-DOMAIN,running,1,6,120,"19/20 terminal and VAL-confirmed; Counters Stage1/off seed 1963100312 remains","terminal result"
2026-09-01T08:26:18+03:00,MCTS-PW70-CROSS-DOMAIN,running,12,72,1440,"12/12 active; no terminal job yet","terminal and VAL summaries"
2026-09-01T08:26:18+03:00,MCTS-HORIZON-COUNTERS,running,8,48,960,"8/8 active; cutoff counter still zero in current summaries","observe nonzero cutoffs before expansion"
2026-09-01T08:26:18+03:00,MAIN-VAL-S2-MCTS,running,1,6,120,"19/20 matched Drone rows available","VH-on seed 1510771779 terminal"
2026-09-01T08:26:18+03:00,MCTS-RESOURCE-ROVER,running,3,18,360,"17/20 terminal-led rows terminal; all terminal scores and plans VAL-valid","three active rows terminal"
2026-09-01T08:26:18+03:00,MAIN-EXT6-MPRIME,user_held,17,100,770,"16 training jobs plus controller","corrected coefficient freeze"
2026-09-01T08:26:18+03:00,MAIN-TERM-EXT6-MPRIME,user_held,21,120,960,"20 training jobs plus controller","same corrected coefficient freeze"
2026-09-01T08:26:18+03:00,MCTS-RESOURCE-FO,user_held,20,120,2400,"legacy three-worker 120-GiB jobs","replace later with lifecycle-safe two-worker 160-GiB continuation"
