rank,experiment_id,current_state,release_gate,scientific_reason,predicted_value,overlap_or_dependency
1,MAIN-EXT6-MPRIME + MAIN-TERM-EXT6-MPRIME,slurm-held,"corrected 588-checkpoint validation rescore and manual per-VH coefficient review","completes the sixth-domain mainstream validation-led and terminal-led evidence",very_high,"MPRIME-ANCHOR-CORRECTED-VAL; do not release on another unexplained double-zero tie"
2,MCTS-PW-30M,design-held,"finish two-seed cross-domain screen and select complete promising domain-stage cells","directly tests advisor concern that six-hour inference limits are excessive while preserving MCTS gains",very_high,"uses final SAFE PW implementation; fresh hard cap validates post-hoc cutoff tables"
3,LONG-DRONE-SELECTED-MCTS,registry-held,"three 120-GiB slots","finishes the selected-versus-final long-training endpoint comparison",medium_high,"small scope; does not replace mainstream Stage2 MCTS"
4,MCTS-RESOURCE-FO,slurm-held-obsolete-form,"deploy lifecycle code and recreate as two-worker 160-GiB jobs","separates FO Counters algorithm quality from worker-concurrency/OOM censoring",high,"Rover resource campaign is already live; do not release old three-worker 120-GiB rows"
5,STOP-ORIG,design-held,"mainstream resource room after current training tails","isolates original training-success early stopping from validation-led stopping",high,"separate from terminal-checkpoint MAIN-TERM"
6,ACT-HISTORY-ABLATION,design-held,"fresh Stage1 pilot networks for Drone Counters and TPP","tests whether action counters help direct policy but harm transposition-based search",medium_high,"TPP is a mostly-monotone non-regression control; Drone/Counters permit improvement"
7,MCTS-SAFE2,design-held,"small memory-instrumented state-horizon pilot","tests horizon-indexed statistics without contaminating shared state-only Q values",medium,"depends on binding-horizon evidence; memory multiplication risk"
8,MCTS-PW-PATHBATCH,design-held,"implementation and unit/regression tests","tests multiple widening expansions per selection path",medium,"nonstandard MCTS behavior; keep separate from ordinary PW"
9,PUCT-EST,deliberately-held,"causal one-factor design after primary RQ evidence","separates PUCT and estimator effects",medium,"historical exploratory configurations are not confirmatory evidence"
10,ENHSP-LEAF,design-held,"specific estimator-divergence evidence","isolates external heuristic repeatability/value contribution",low,"determinism audit localized the first observed difference to CPU network math instead"
11,BG-HIST,historical-held,"explicit historical-analysis need","preserves archival context only",low,"proper width5/20 Block Grouping evidence already exists"
