snapshot,experiment,state,jobs,cpus,ram_gib,evidence,next_action
2026-09-01T10:37:46+03:00,PRESERVE-3-TERM training,running,39,234,1872,"21/60 terminal: Delivery off4 on2; TPP off1 on0; Zenotravel off10 on4","cell-specific controllers already dependency-gated"
2026-09-01T10:37:46+03:00,PRESERVE-3-TERM policy,operationally-held,1,10,20,"208/209 Zenotravel-off policy jobs left the live queue; job20812836 is requeued held after environment retrieval failure","inspect and release the one operational tail"
2026-09-01T10:37:46+03:00,PRESERVE-3-TERM controllers,dependency-pending,5,10,5,"one controller for each unfinished cell","automatic release on each cell dependency"
2026-09-01T10:37:46+03:00,MCTS-PW70-CROSS-DOMAIN,running,12,72,1440,"all twelve active; current lower bounds frozen in comparative_summary_20260901_1022.csv","finish and VAL-confirm"
2026-09-01T10:37:46+03:00,MCTS-HORIZON-COUNTERS,running,8,48,960,"all four pairs active; zero nonzero cutoff records","finish and require binding evidence"
2026-09-01T10:37:46+03:00,MAIN-VAL-S2-MCTS,running,1,6,120,"19/20 Drone rows terminal; final row processing instance19","finish and recompute ten-seed paired result"
2026-09-01T10:37:46+03:00,MCTS-LEGACY-ROVER,running,1,6,120,"job20559644 ended OOM with clean 4/20 and 4/4 VAL-valid; job20559583 still needs deduplicating VAL","finish final live row and validate retry-duplicated evidence"
2026-09-01T10:37:46+03:00,MAIN-EXT6-MPRIME and MAIN-TERM-EXT6-MPRIME,deliberately-held,38,220,1730,"36 Stage-2 jobs and two controllers held behind coefficient freeze","recover 48 validation points and review per-VH curves"
2026-09-01T10:37:46+03:00,MCTS-LEGACY-FO-COUNTERS,deliberately-held,20,120,2400,"legacy Stage-2 endpoint MCTS held","release only if prioritized or replace with lifecycle-safe resource continuation"
2026-09-01T10:37:46+03:00,ALL,running,61,366,4512,"exact expanded-task Slurm total",""
2026-09-01T10:37:46+03:00,ALL,ordinary-pending,0,0,0,"none",""
2026-09-01T10:37:46+03:00,ALL,dependency-pending,5,10,5,"five policy controllers",""
2026-09-01T10:37:46+03:00,ALL,operationally-held,1,10,20,"one Zenotravel policy job",""
2026-09-01T10:37:46+03:00,ALL,deliberately-held,58,340,4130,"38 MPrime plus20 FO Counters",""
2026-09-01T10:37:46+03:00,ALL,completing,0,0,0,"none",""
