experiment_id,training_scope,training_lineages,policy_learning_curve_requirement,policy_entries_materialized,mcts_endpoint_requirement,mcts_entries_materialized,status,next_action
MAIN-VAL+MAIN-TERM,shared Stage-1,100,"every available epoch divisible by 5, plus selected and final endpoints",2129,validation-selected and final checkpoint for every lineage,223,materialized; includes 23 explicit retry/continuation endpoint records,reconcile corrected Block Grouping width-5/20 results; never use width-5/3 as primary
MAIN-VAL,Stage-2 initialized from Stage-1 validation-selected checkpoint,100,"every available epoch divisible by 5, plus selected and final endpoints",2180,validation-selected Stage-2 checkpoint for each declared lineage,99,materialized; Rover dropped lineage leaves declared n=9; all 16 previously absent Drone jobs submitted as 20726030--20726045,retain policy curves; reconcile Drone selected-checkpoint MCTS as the submitted jobs become terminal
MAIN-TERM,Stage-2 initialized from Stage-1 final checkpoint,100,"every available epoch divisible by 5, plus selected and final endpoints",2175,validation-selected Stage-2 checkpoint for every lineage; Stage-2 final MCTS intentionally excluded,100,materialized; MCTS held,keep Stage-2-final MCTS excluded unless the protocol changes
PRESERVE-LEGACY-4-S1,Historical Stage-1 Delivery/MPrime/TPP/Zenotravel,80,"every available epoch divisible by 5, plus selected and final endpoints",1097,validation-selected and final checkpoint for every lineage,160,materialized; MPrime selected endpoint scientifically invalid under old validation; legacy four-domain identifier retained only for provenance,retain Delivery/TPP/Zenotravel as PRESERVE-3 inputs; replace MPrime selection via MPRIME-VAL
MPRIME-VAL,corrected-validation Stage-1 MPrime,20,"every available epoch divisible by 5, plus selected and final endpoints",290,validation-selected and final checkpoint for every lineage,40,"all 290 policy evaluations complete; 40 MCTS identities recorded but 0 submitted and 0 complete",freeze the selected checkpoints through Phase B; then submit 20 selected MCTS jobs for the table and 20 final MCTS jobs for the declared endpoint contract
ANCHOR-4,Stage-2 coefficient tuning for Delivery/TPP/Zenotravel,84,every available epoch divisible by 5 for AUC selection; no test-selected endpoints,847,no MCTS during coefficient tuning,0,84/84 tuning lineages terminal and coefficients frozen for all three domains,retain tuning curves as the four reused winning confirmation lineages per domain
PRESERVE-3-VAL,ten-seed validation-led confirmatory Stage-2 after coefficient selection,60,"every available epoch divisible by 5, plus selected and final endpoints",964,validation-selected Stage-2 checkpoint for every lineage; Stage2-final MCTS excluded,60,all three domains have ten selected-endpoint seeds; historical preserve4 strings in paths/manifest ids are immutable provenance,retain TPP/off catastrophic-collapse audit and display all-10 held-out-8 and tuning-2 means together
PRESERVE-3-TERM,ten-seed terminal-led stable-domain Stage-2,60,"every available epoch divisible by 5, plus selected and final endpoints",1241,validation-selected Stage-2 checkpoint for every lineage; Stage2-final MCTS excluded,0,60/60 training lineages terminal; all six ten-seed selected-endpoint comparisons complete; TPP every-five curve retries live,finish the remaining TPP curve retries; no training or selected-endpoint evaluation is missing
MPRIME-ANCHOR,corrected MPrime Stage-2 coefficient tuning,28,validation metrics over all 588 saved checkpoints select coefficient; retain full test-policy curves only for winning arms,378,no MCTS during coefficient tuning,0,588/588 corrected validation points complete; manual review froze anchor 10 independently for both VH modes,retain corrected curves and the invalid obsolete anchor-zero campaign only in provenance
MAIN-EXT6-MPRIME,corrected MPrime Stage-2 initialized from validation-selected Stage1 checkpoints,20,"every available epoch divisible by 5, plus Stage-2 validation-selected and final endpoints",420,Stage-2 validation-selected checkpoint for every lineage; Stage2-final MCTS excluded,0,"all 20 training lineages and all 420 policy jobs complete; 0 of 20 selected MCTS jobs submitted",freeze a non-saturated Stage-2 selector through Phase B and then submit 20 selected-checkpoint MCTS jobs
MAIN-TERM-EXT6-MPRIME,corrected MPrime Stage-2 initialized from Stage-1 final checkpoints,20,"every available epoch divisible by 5, plus Stage-2 validation-selected and final endpoints",420,Stage-2 validation-selected checkpoint for every lineage; Stage-2-final MCTS excluded,0,"all 20 training lineages and all 420 policy jobs complete; 0 of 20 selected MCTS jobs submitted",freeze a non-saturated Stage-2 selector through Phase B and then submit 20 selected-checkpoint MCTS jobs
MPRIME-VAL-ADEQUACY,existing MPrime Stage-1 and both Stage-2 checkpoint inventories,60,"validation-only rescore of 290 Stage-1 plus 840 Stage-2 checkpoints on each frozen replicate",0,no MCTS in validation-design audit,0,"Phase A complete; Phase B preparation active; no replicate or Slurm job submitted",replace direct-witness difficulty and freeze two disjoint planner-stratified sets before one-checkpoint preflight and 60-lineage submission
LONG-DRONE,three long Stage-1 continuations,3,"every available epoch divisible by 5, plus continuation-selected and terminal endpoints",15,continuation-selected and terminal endpoint per lineage,6,three terminal MCTS complete; three continuation-selected MCTS held; five of six policy endpoints complete and job 20769235 supplies the last,"retain as side experiment, not primary 24-hour result"
MCTS-STAGE2-BRANCH-COMPLETION,existing Stage-2 selected checkpoints,0,no new policy work; all matching policy endpoints already exist,0,57 exact branch-completion MCTS identities: BG13 FO5 Rover19 Counters20,57,BG and FO submitted with infrastructure retries; Rover19 submitted with exact retries; Counters20 manifest ready but user-gated,finish submitted BG/FO/Rover identities; submit Counters narrow5/20 only after all19 Rover identities run and memory remains
