artifact,scope,authoritative_as_of,row_level_source,notes
status_20260908_latest.md,Complete narrative snapshot,2026-09-08T23:39:41+03:00,All rows below,Current workload live experiments completed RQs held designs and best-domain table
cluster_workload_latest.csv,Every live Slurm identity,2026-09-08T23:39:41+03:00,squeue://hersco/<job_id>,Exact state CPU RAM elapsed and limit
cluster_workload_summary_latest.csv,Experiment-level workload rollup,2026-09-08T23:39:41+03:00,cluster_workload_latest.csv,Exact running allocation by experiment
dynamic_experiment_jobs_latest.csv,Bounded live and recently terminal MCTS results,2026-09-08T23:40:00+03:00,Direct source_evaluation_log and source_completion_ledgers,Includes job state cutoffs classified instances and VAL fields
mprime_validation_phase_b_progress_latest.csv,MPrime Phase-B rescore progress,2026-09-08T23:40:00+03:00,cluster_workload_latest.csv and /home/hersco/training_new_domains/2026-09-06/mprime_phase_b,Counts frozen checkpoint-replicate artifacts plus active job identities and log glob
stage1_policy_mcts_all_cutoff_statistics_latest.csv,Stage1 preferred fixed-search comparison at all cutoffs,2026-09-08,stage1_policy_mcts_seed_cutoffs_latest.csv,Paired CI raw p and Holm p separately at30m 2h and6h
stage1_policy_mcts_seed_cutoffs_latest.csv,Stage1 matched seed scores,2026-09-08,Direct source_policy_log source_mcts_log and completion ledger,One row per domain VH seed
stage2_policy_mcts_comparison_by_branch_latest.csv,Stage2 branch-aware policy versus MCTS,2026-09-08,Each row_level_provenance field,Interrupted cells use explicit lower bounds and withhold inference
stage2_policy_mcts_seed_cutoffs_latest.csv,Stage2 matched seed cutoff results,2026-09-08,policy_log;source_mcts_logs;source_completion_ledger,Every 30m 2h and 6h score maps to policy and MCTS evidence
stage2_policy_mcts_all_cutoff_statistics_latest.csv,Stage2 cutoff-specific paired inference,2026-09-08,stage2_policy_mcts_seed_cutoffs_latest.csv,Paired CI exact sign-flip p and interim cutoff-specific Holm family
mcts_progressive_widening_cross_domain/pw70_ten_seed_statistics_latest.csv,PW70 FO/Rover paired statistics,2026-09-08,mcts_progressive_widening_cross_domain/pw70_ten_seed_results_latest.csv,All cutoffs include CI raw p and Holm p versus policy and fixed search
mcts_progressive_widening_cross_domain/pw70_ten_seed_results_latest.csv,PW70 FO/Rover matched seeds,2026-09-11,Direct policy fixed and PW log paths,FO/off includes a final7/20 OOM-terminal declared-budget endpoint; dedicated recovery timed out and8.40 is frozen
best_configuration_by_domain_latest.csv,Best demonstrated result per domain,2026-09-08,Per-row row_level_provenance,Compares Stage1 policy and paper reference
rover_interrupted_mcts_recovery_manifest_20260908.csv,Rover exact interruption recovery,2026-09-08,Original evaluation log and completion ledger per lineage,Exactly29 originally unclassified instances
rover_interrupted_mcts_recovery_followup_manifest_20260908.csv,Rover cleanup-failure follow-up,2026-09-08,Source job20430090 log and checkpoint,Exactly instances16 and17 with one worker
rover_interrupted_mcts_recovery_followup_submission_20260908.csv,Rover cleanup-failure submission history,2026-09-08,Direct Slurm job ids and stdout paths,Separates zero-compute parser failure from corrected running job
experiments.csv,Complete experiment registry,2026-09-08,Per-row results_file and manifest_path,Mirrored by experiment_registry.csv
anchor_kl_control_tpp_screen_20260908.csv,Adaptive KL-control two-job screen,2026-09-08,existing_constant_job_id;source_training_job_id;source_checkpoint;output_log,Two adaptive jobs reuse existing constant baselines
status_20260909_latest.md,Complete narrative snapshot,2026-09-09T00:43:18+03:00,All rows below,Current workload live experiments completed RQs held designs and best-domain table
anchor_kl_control_submissions_20260909.tsv,Adaptive KL initial submissions,2026-09-09T00:43:18+03:00,Direct Slurm job ids source checkpoints and stdout paths,Both initial jobs failed before training due to missing ignored native operator in clean worktree
anchor_kl_control_retry_submissions_20260909.tsv,Adaptive KL corrected retries,2026-09-09T00:43:18+03:00,retry_of;job_id;source_training_job_id;source_checkpoint;output_log,Both corrected jobs running after strengthened compute smoke21144340
anchor_kl_control_live_progress_20260909.csv,Adaptive KL first-update progress,2026-09-09T00:49:30+03:00,Direct source_training_log and Slurm job id,Validation and KL diagnostics only; no test-policy result yet
advisor_report_20260909_current.md,Complete RQ-first report,2026-09-09T10:46:40+03:00,All referenced local authoritative ledgers,Locally cached; no cluster query required for re-rendering
experiment_catalog_latest.csv,All registered experiments,2026-09-09T10:46:40+03:00,experiments.csv plus cluster_workload_latest.csv,Locally cached; no cluster query required for re-rendering
anchor_kl_control_summary_latest.csv,Adaptive KL job summary,2026-09-09T10:46:40+03:00,anchor_kl_control_progress_latest.csv and direct source logs,Locally cached; no cluster query required for re-rendering
learning_curves/latest/rq1_rq3_policy_curve_source.csv,Replottable learning-curve source,2026-09-09T10:46:40+03:00,Direct training/evaluation job and log columns,Locally cached; no cluster query required for re-rendering
learning_curves/latest/learning_curve_provenance.csv,Learning-curve provenance,2026-09-09T10:46:40+03:00,Direct training/evaluation jobs and logs,Locally cached; no cluster query required for re-rendering
rq_results_latest.csv,RQ-level result index,2026-09-09T10:46:40+03:00,Direct detail and row-level provenance files,Locally cached; no cluster query required for re-rendering
