artifact,role,authoritative_source,contains_direct_job_or_log_provenance,target_repository_path,publication_state
RQ-separated primary statistics,Primary advisor/thesis result table,experiment_tracking/advisor_followup_20260910/rq_primary_validation_led.csv,yes: row_level_provenance points to seed ledgers with job IDs and logs,results/rq_primary_validation_led.csv,ready_locally
Terminal-led archive index,Explains what was retired without deleting evidence,experiment_tracking/advisor_followup_20260910/terminal_led_archive_index.csv,yes: source points to terminal seed ledgers,results/archive/terminal_led_archive_index.csv,ready_locally
Generator comparison,Documents possible generator bias and external mappings,experiment_tracking/advisor_followup_20260910/generator_comparison.csv,source-code URLs and local generator paths,methods/generator_comparison.csv,ready_locally
Counters failure evidence,Existing trajectory-level diagnosis,experiment_tracking/mcts_counters_width_sensitivity/stage2_policy_only_trajectory_audit.csv,yes: policy logs and MCTS completion ledgers,results/counters/stage2_policy_only_trajectory_audit.csv,ready_locally
Counters global failure join,All ten validation-led Stage2 seeds in both VH modes,experiment_tracking/advisor_followup_20260910/counters_policy_mcts_failure_global.csv,yes: every row contains policy job/log and MCTS job/ledger,results/counters/counters_policy_mcts_failure_global.csv,ready_locally
Counters trace parser,Recreates 30m/2h/6h visit-distribution summaries,scripts/summarize_mcts_visit_distribution.py,input logs remain explicit in every output row,code/summarize_mcts_visit_distribution.py,ready_locally
Counters visit-audit manifest,Predeclares the minimal two-job diagnostic,experiment_tracking/advisor_followup_20260910/counters_visit_audit_manifest.csv,yes: exact checkpoints instances historical logs and completion ledger,methods/counters_visit_audit_manifest.csv,ready_locally
RQ figures,Presentation figures generated solely from the primary CSV,experiment_tracking/advisor_followup_20260910/rq1_stage2_training_vh_off.svg;experiment_tracking/advisor_followup_20260910/rq2_mcts_vh_off.svg;experiment_tracking/advisor_followup_20260910/rq3_value_head_training.svg;experiment_tracking/advisor_followup_20260910/rq4_value_head_mcts.svg,companion CSV supplies provenance,figures/,ready_locally
Prepared implementation,Exact code revision used to build artifacts,scripts/build_advisor_followup_20260910.py;asnets/asnets/spawn_train_worker.py;experiment_tracking/experiment_registry.csv,Git commit hash will be added at publication,code/,awaiting_commit
Paper-to-thesis change inventory,Exact training inference and reporting changes with rationale,experiment_tracking/advisor_followup_20260910/paper_to_thesis_change_inventory.csv,each evidence cell names code or result sources,methods/paper_to_thesis_change_inventory.csv,ready_locally
External-generator screen results,Per-seed original-test and external-distribution policy scores,experiment_tracking/advisor_followup_20260910/yarin_external_results_latest.csv,source and external Slurm job IDs plus both log paths,results/advisor_followup_20260910/yarin_external_results_latest.csv,completed_ready
RQ2 raw means,Stage-1 and validation-led Stage-2 policy/MCTS levels,experiment_tracking/advisor_followup_20260910/rq2_raw_means_validation_led.csv,seed_level_source and job_log_columns point to source ledgers,results/advisor_followup_20260910/rq2_raw_means_validation_led.csv,ready_locally
RQ3 raw means,Parallel VH-off/VH-on Stage-1 to Stage-2 levels and interaction,experiment_tracking/advisor_followup_20260910/rq3_raw_means_validation_led.csv,seed_level_source and job_log_columns point to source ledgers,results/advisor_followup_20260910/rq3_raw_means_validation_led.csv,ready_locally
RQ4 raw means,Parallel VH-off/VH-on policy and MCTS levels,experiment_tracking/advisor_followup_20260910/rq4_raw_means_validation_led.csv,seed_level_source and job_log_columns point to source ledgers,results/advisor_followup_20260910/rq4_raw_means_validation_led.csv,ready_locally
MPrime Phase-B checkpoint scores,All 1130 checkpoints on both frozen validation replicates,experiment_tracking/mprime_validation_phase_b_20260906/phase_b_checkpoint_scores_latest.csv,training and policy jobs/logs plus durable replicate summary paths and Phase-B stdout glob,results/mprime/phase_b_checkpoint_scores_latest.csv,ready_locally
MPrime Phase-B lineage summary,Per-lineage rank agreement and selection regret,experiment_tracking/mprime_validation_phase_b_20260906/phase_b_lineage_summary_latest.csv,training_log plus companion checkpoint-score provenance,results/mprime/phase_b_lineage_summary_latest.csv,ready_locally
MPrime Phase-B cell summary,Aggregate validation adequacy by branch and VH,experiment_tracking/mprime_validation_phase_b_20260906/phase_b_cell_summary_latest.csv,companion lineage and checkpoint ledgers,results/mprime/phase_b_cell_summary_latest.csv,ready_locally
MPrime selector comparison,Replicate-A Replicate-B and consensus selector outcomes,experiment_tracking/mprime_validation_phase_b_20260906/phase_b_cell_selector_comparison_latest.csv,seed_level_source points to lineage selector ledger with training logs,results/mprime/phase_b_cell_selector_comparison_latest.csv,ready_locally
Counters visit milestones,Exact 30m 2h 6h and first-divergence summaries,experiment_tracking/advisor_followup_20260910/counters_visit_audit_latest_milestones.csv,source_log in every row,results/counters/counters_visit_audit_latest_milestones.csv,ready_locally
Counters visit root traces,Per-root priors visits Q U and selected actions,experiment_tracking/advisor_followup_20260910/counters_visit_audit_latest_steps.csv,source_log in every row,results/counters/counters_visit_audit_latest_steps.csv,ready_locally
FO Stage-2 recovery progress,Three exact partial identities under minimal recovery,experiment_tracking/advisor_followup_20260910/fo_stage2_validation_recovery_progress_latest.csv,recovery source and output logs in every row,results/fo_counters/fo_stage2_validation_recovery_progress_latest.csv,live_partial
Validation-led RQ report,Canonical RQ1-RQ4 narrative tables and figure index,experiment_tracking/advisor_followup_20260910/rq_report_validation_led_20260912.md,all tables are generated from companion provenance-bearing CSVs,results/advisor_followup_20260910/rq_report_validation_led_20260912.md,ready_locally
MPrime Phase-C checkpoint results,All 347 candidate-limited checkpoint evaluations,experiment_tracking/mprime_validation_phase_c_20260911/phase_c_checkpoint_scores_latest.csv,training and policy jobs/logs plus validation summaries,results/mprime/phase_c_checkpoint_scores_latest.csv,ready_locally
MPrime final validator decision,Phase-B replicate A versus Phase-C common-reference decision,experiment_tracking/mprime_validation_phase_c_20260911/validator_decision_latest.csv,row_level_provenance links both selector ledgers,results/mprime/validator_decision_latest.csv,ready_locally
Counters three-way tie-break results,Six matched action-index Q and policy-prior diagnostic tasks,experiment_tracking/counters_tie_break_3way_20260911/results_latest.csv,each row includes Slurm job and remote log plus compact local trace,results/counters/tie_break_3way_results_latest.csv,ready_locally
FO Stage-2 exact final instance,Only remaining non-durable evaluator instance from source 20943885,experiment_tracking/advisor_followup_20260910/fo_stage2_validation_exact_recovery_20260912.csv,source job recovery job and remote log are inline,results/fo_counters/fo_stage2_validation_exact_recovery_20260912.csv,live_single_instance
