thesis_domain,yarin_generator,mapping,our_generator,our_engineering_score_10,yarin_engineering_score_10,distribution_distance_10,main_similarity,main_difference,recommended_use,our_source,yarin_source
block_grouping,,no_overlap,problem_generator/block-grouping/generator.py,8.0,,,None in the referenced repository,None in the referenced repository,Keep our generator; seek a separate external generator if generator bias becomes a thesis claim,problem_generator/block-grouping/generator.py,https://github.com/SPL-BGU/pddl-problem-generator
counters,,no_overlap,problem_generator/counters/generator.py,7.5,,,Yarin's counters_generator is FO Counters rather than this fn-counters domain,None in the referenced repository,Keep our generator; do not treat Yarin counters as an external replica of fn-counters,problem_generator/counters/generator.py,https://github.com/SPL-BGU/pddl-problem-generator
delivery,,no_overlap,problem_generator/delivery/generator.py,8.0,,,None in the referenced repository,None in the referenced repository,Keep our generator; external comparison unavailable here,problem_generator/delivery/generator.py,https://github.com/SPL-BGU/pddl-problem-generator
drone,,no_overlap,problem_generator/drone/generator.py,8.0,,,None in the referenced repository,None in the referenced repository,Keep our generator; external comparison unavailable here,problem_generator/drone/generator.py,https://github.com/SPL-BGU/pddl-problem-generator
fo_counters,counters_generator.py,direct_domain_match,problem_generator/fo-counters/generator.py,8.0,5.5,3.0,Both sample initial values and monotone pairwise counter inequalities in fo-counters-rnd,Yarin fixes the chain order and has no tier/seed/audit workflow; ours shuffles the chain and enforces an adequate numeric range,Best immediate external-distribution comparison after adding explicit seeds and running the same static/ENHSP audit,problem_generator/fo-counters/generator.py,https://github.com/SPL-BGU/pddl-problem-generator/blob/main/counters_generator.py
fo_counters,complex_counters_generator.py,related_variant_not_current_distribution,problem_generator/fo-counters/generator.py,8.0,4.5,9.0,Uses the same named domain and counter objects,Uses multiplicative/equality goals and an extra constraint pattern absent from our evaluated distribution,Do not pool with the direct FO Counters comparison; treat only as a future out-of-distribution stress test,problem_generator/fo-counters/generator.py,https://github.com/SPL-BGU/pddl-problem-generator/blob/main/complex_counters_generator.py
mprime,,no_overlap,problem_generator/mprime/generator.py,8.0,,,None in the referenced repository,None in the referenced repository,Keep our generator; Phase B remains the direct validation-adequacy test,problem_generator/mprime/generator.py,https://github.com/SPL-BGU/pddl-problem-generator
rover,rovers_generator.py,direct_domain_match,problem_generator/rover/generator.py,8.5,6.0,8.0,Both target the IPC Rover schema and vary rovers waypoints objectives and cameras,Yarin wraps rovergen with broad random parameters; ours constructs connected visibility/traversal graphs and explicitly guards capabilities energy and reachable goal structure,Useful strong distribution-shift test after freezing the rovergen command/version and auditing generated solvability,problem_generator/rover/generator.py,https://github.com/SPL-BGU/pddl-problem-generator/blob/main/rovers_generator.py
tpp,,no_overlap,problem_generator/tpp/generator.py,8.0,,,None in the referenced repository,None in the referenced repository,Keep our generator; external comparison unavailable here,problem_generator/tpp/generator.py,https://github.com/SPL-BGU/pddl-problem-generator
zenotravel,zenotravel_generator.py,direct_domain_match,problem_generator/zenotravel/generator.py,8.5,3.5,7.0,Both sample aircraft people cities fuel parameters distances and relocation goals,Yarin hard-codes seed 42 uses inclusive city indices and gives Person the people count as its location bound; ours enforces valid city references nontrivial passenger goals and fuel/capacity safety,Do not evaluate networks on raw Yarin output; first repair the indexing/reproducibility defects then freeze and audit a separate external set,problem_generator/zenotravel/generator.py,https://github.com/SPL-BGU/pddl-problem-generator/blob/main/zenotravel_generator.py
