snapshot_time_idt,experiment,status,terminal_units,live_jobs,pending_jobs,held_jobs,requested_cpus_live,requested_memory_gib_live,current_evidence,realistic_timing,provenance
2026-09-05T13:36:12+03:00,MCTS-STAGE2-BRANCH-COMPLETION — Block Grouping validation-led,complete,20,0,0,0,0,0,"10/10 per VH; off policy 16.0 vs MCTS 15.7; on policy 12.8 vs MCTS 12.6","complete","experiment_tracking/bg_validation_mcts_provenance_20260905.csv;experiment_tracking/stage2_mcts_historical_log_audit_20260902.csv"
2026-09-05T13:36:12+03:00,MCTS-STAGE2-BRANCH-COMPLETION — FO Counters validation-led,live,15,5,0,0,30,600,"off 6 historical plus 4 live; on 9 historical plus 1 live","similar jobs median 48.3h; current 23-26h; likely 20-46h remaining, with some reaching 72h","experiment_tracking/live_mcts_job_provenance_20260905_1314.csv;experiment_tracking/stage2_mcts_historical_log_audit_20260902.csv"
2026-09-05T13:36:12+03:00,MCTS-STAGE2-BRANCH-COMPLETION — Rover validation-led,live,1,19,0,0,114,2280,"all nineteen formerly absent endpoints are running; lower bounds range 3-6 successes while most jobs have processed 13-19 of 20 instances including timeouts","many jobs are near their final instance waves; roughly 0-15h for most, 46-51h hard remaining bounds","experiment_tracking/live_mcts_job_provenance_20260905_1314.csv;experiment_tracking/stage2_mcts_historical_log_audit_20260902.csv"
2026-09-05T13:36:12+03:00,MCTS-STAGE2-BRANCH-COMPLETION — Counters terminal-led,live,0,20,0,0,120,2400,"all twenty narrow 5/20 jobs running; nine pre-inference node failures replaced exactly; current easy-instance lower bounds 6-30 successes","median analogous Stage-2 narrow job 49.9h; fast perfect-policy seeds may finish in hours; family tail can take 2-3 days","experiment_tracking/live_mcts_job_provenance_20260905_1314.csv;experiment_tracking/stage2_mcts_counters_terminal_node_retry_20260905.csv"
2026-09-05T13:36:12+03:00,MCTS-LEGACY-FO terminal-led Stage-2,live,18,2,0,0,12,240,"VH-off complete: policy 2.8 to MCTS 5.3; VH-on current lower-bound mean 4.4 versus policy 3.8","running seeds have 25h and 37h hard bounds; timeout-heavy tails may use most of them","experiment_tracking/fo_terminal_mcts_provenance_20260905.csv;experiment_tracking/stage2_mcts_historical_log_audit_20260902.csv"
2026-09-05T13:36:12+03:00,MCTS-PW70-CROSS-DOMAIN correction,live,11,1,0,0,6,120,"BG and five Counters cells terminal; Counters S1/off second seed remains a >=21/59 lower bound","25.6h to hard limit; timeout pattern makes a near-limit finish likely","experiment_tracking/live_mcts_job_provenance_20260905_1314.csv;experiment_tracking/mcts_progressive_widening_cross_domain/pw70_followup_reconciliation_20260902.csv"
2026-09-05T13:36:12+03:00,MCTS-PW70-CONFIRMATORY,live,17,1,0,0,6,120,"FO/Rover and Counters off complete; Counters on fifth seed currently >=29/59 at 6h","12.5h to hard limit; current timeout pattern makes the allocation limit plausible","experiment_tracking/live_mcts_job_provenance_20260905_1314.csv;experiment_tracking/mcts_progressive_widening_cross_domain/pw70_confirmatory_seed_results_20260904.csv"
2026-09-05T13:36:12+03:00,MCTS-PW-COUNTERS-DIVERGENCE,live,3,3,0,0,18,360,"PW20 terminal for all three exact snapshots; PW70 lower bounds 21/59,21/59,19/59","19-27h to hard limits; timeout-heavy tails likely consume much of the remaining allocation","experiment_tracking/live_mcts_job_provenance_20260905_1314.csv;experiment_tracking/mcts_progressive_widening_cross_domain/counters_divergence_cutoffs_20260904.csv"
2026-09-05T13:36:12+03:00,MPRIME-VAL-ADEQUACY Phase B,active-local-not-submitted,0,0,0,0,0,0,"Phase A complete; existing Stage-2 validation is 30/30 at all 840 checkpoints; Phase-B readiness remains 35 percent","no Slurm timing until two harder frozen replicates and preflight exist","experiment_tracking/mprime_validation_ipc_scale_v1/phase_b_readiness_20260904.csv"

