hole_id,experiment_scope,story_hole,defensible_cover,work_type,status
STAT-RQ,all mainstream,Existing Holm correction pooled ten VH/domain tests and RQ3 difference-in-differences was absent.,Recompute exact sign-flip tests with Holm over five domains within each RQ; report RQ3 as paired difference-in-differences.,analysis-only,closed by rq_results.csv
SIX-DOMAIN-FAMILY,MAIN-EXT6-MPRIME,"MPrime joined the imperfect-domain group only after the corrected validation audit, so its Stage-2 effect is absent from the original five-domain confirmatory family.","Preserve the preregistered five-domain Holm results and add a separately labelled six-domain extension after MPrime Stage-2 confirmation; existing per-domain CIs/raw p-values do not change, but six-family Holm p-values may stay equal or increase.",training/evaluation plus analysis,dependency-live
RQ2-PRIMARY,MAIN-VAL-S2-MCTS,"The paper-plan primary inference comparison is Stage-2 policy versus MCTS, but most present evidence is Stage-1 secondary analysis.","Finish the submitted Drone gap, then release remaining domain-matched Stage-2 endpoint MCTS in a resource-prioritized order.",new compute,open/live
TERM-FIDELITY,MAIN-TERM,Terminal checkpoints reuse runs whose stopping was still influenced by validation; this is not strict original-paper early stopping.,"Run STOP-ORIG with training-success stopping and terminal selection, first as a three-seed pilot.",new training,held
MPRIME-RANK,MPRIME-VAL,Corrected validation removes epoch-1 bias but has weak checkpoint-ranking agreement with test coverage.,Report rank agreement and regret; consider a larger preregistered validation ensemble without using test scores to tune it.,analysis plus possible policy eval,partly closed
RESOURCE-CENSOR,MCTS-RESOURCE,OOM/time-limited MCTS rows are conservative lower bounds and confound algorithm with worker concurrency/memory.,Deploy lifecycle-safe two-worker/160-GiB resumptions and report both fixed-budget lower bounds and resource sensitivity.,new compute,held
SEARCH-CONFIG,MCTS-WIDTH,Search width differs by domain; a single cross-domain MCTS average would be invalid.,"Keep domain-specific comparisons explicit; use width 5/20 for Block Grouping and Counters, width 20/70 elsewhere.",reporting,closed by design
PW-POWER,MCTS-PW-CROSS-DOMAIN,Two-seed cross-domain PW is exploratory and cannot support final statistical claims.,Expand only promising domain/arm combinations to five matched seeds after current two-seed screen.,conditional compute,live
HORIZON-BIND,MCTS-HORIZON,The original Drone horizon pilot had zero cutoffs and could not test the mechanism.,"Finish fresh aware/unaware 750-action pairs; if cutoffs remain sparse, move to cutoff-rich Counters instances with preregistered limits.",new compute,live
SAFE-INCOMPLETE,MCTS-SAFE,Terminal masking repaired two of four failures; two still wandered into failure.,"Use SAFE-CONTEXT for history-aliasing, retain complete decision diagnostics, and classify remaining failure modes.",new compute,live overlap
CONTEXT-MEM,MCTS-SAFE-CONTEXT,Contextual nodes can multiply node count and memory (diagnostic maximum already >5x).,"Gate full conclusions on peak RSS, node multiplier, collision rate, and matched coverage/runtime—not coverage alone.",instrumentation,live
CYCLE-ABLATION,MCTS-SAFE-CONTEXT,Physical-state cycle detection may reject a beneficial revisit with a different action history.,"Keep current defensible physical-cycle rule, but add a small contextual-cycle ablation only if collision witnesses show useful revisits.",conditional design,open
POLICY-TIME,MCTS-PW-30M,The deterministic 30-minute recensoring is valid descriptive evidence but is not yet a fresh operational hard-cap experiment.,"After the two-seed screen selects promising cells, run fresh same-commit fixed/PW jobs with a hard 30-minute instance cap; this is cheap enough to close directly.",new compute,held-ready
S2-SYNERGY,MAIN-VAL-S2-MCTS,Training-plus-search synergy is not yet estimable for most domains because Stage-2 MCTS is held/incomplete.,Complete selected-checkpoint Stage-2 MCTS; keep Stage-2-final MCTS excluded unless protocol changes.,new compute,open
TUNING-HOLDOUT,PRESERVE-4,"Two of ten seeds select the anchor coefficient, leaving only eight unbiased confirmation seeds per VH.",Report tuning winners separately from the eight held-out seeds; never present all ten as fully held-out.,analysis,open/live
PAPER-VARIANCE,all,Published paper scores are single aggregates without seed-level variance.,Show our mean/CI and descriptive difference only; do not calculate a p-value against the paper number.,reporting,closed
BUILD-VARIATION,MCTS-HORIZON,Historical and fresh MCTS processes are not bitwise reproducible across code/lifecycle builds.,Use fresh aware and unaware arms from the same commit for causal claims.,new compute,closed in binding design
CONTINUATION-STATE,LONG-DRONE,"Legacy continuations reset their validation baseline, overstating continuation improvements.",Use restored trainer-state metadata and label legacy continuation evidence as compatibility-limited.,code/reporting,fix implemented; historical caveat
LOW-N,all live,Non-significance at n=2-5 is not evidence of no effect.,Label exploratory rows; freeze confirmatory inference only after the preregistered matched seed count is terminal.,reporting/compute,open/live
